"Date","Price","Open","High","Low","Change %"
"03/04/2020","-0.874","-0.801","-0.801","-0.892","-1.58%"
"03/03/2020","-0.888","-0.875","-0.835","-0.888","1.95%"
"03/02/2020","-0.871","-0.872","-0.860","-0.935","0.00%"
"02/28/2020","-0.871","-0.886","-0.866","-0.900","2.71%"
"02/27/2020","-0.848","-0.768","-0.768","-0.875","5.60%"
"02/26/2020","-0.803","-0.842","-0.803","-0.858","-3.95%"
"02/25/2020","-0.836","-0.822","-0.822","-0.853","0.48%"
"02/24/2020","-0.832","-0.799","-0.789","-0.853","6.26%"
"02/21/2020","-0.783","-0.772","-0.772","-0.810","1.56%"
"02/20/2020","-0.771","-0.751","-0.751","-0.782","2.39%"
"02/19/2020","-0.753","-0.734","-0.726","-0.763","2.03%"
"02/18/2020","-0.738","-0.745","-0.726","-0.774","-1.07%"
"02/17/2020","-0.746","-0.731","-0.731","-0.759","1.22%"
"02/14/2020","-0.737","-0.741","-0.733","-0.756","-1.60%"
"02/13/2020","-0.749","-0.742","-0.737","-0.778","3.17%"
"02/12/2020","-0.726","-0.632","-0.632","-0.732","-0.82%"
"02/11/2020","-0.732","-0.713","-0.713","-0.740","0.14%"
"02/10/2020","-0.731","-0.699","-0.699","-0.750","2.67%"
"02/07/2020","-0.712","-0.712","-0.712","-0.723","3.79%"
"02/06/2020","-0.686","-0.679","-0.679","-0.705","0.29%"
"02/05/2020","-0.684","-0.749","-0.684","-0.765","-8.56%"
"02/04/2020","-0.748","-0.749","-0.748","-0.768","0.00%"
"02/03/2020","-0.748","-0.781","-0.748","-0.781","0.00%"
"01/31/2020","-0.748","-0.748","-0.748","-0.784","0.00%"
"01/30/2020","-0.748","-0.761","-0.748","-0.771","0.67%"
"01/29/2020","-0.743","-0.666","-0.666","-0.759","0.00%"
"01/28/2020","-0.743","-0.740","-0.740","-0.803","-4.62%"
"01/27/2020","-0.779","-0.662","-0.661","-0.797","6.71%"
"01/24/2020","-0.730","-0.714","-0.696","-0.740","1.96%"
"01/23/2020","-0.716","-0.638","-0.638","-0.727","13.47%"
"01/22/2020","-0.631","-0.575","-0.575","-0.687","1.94%"
"01/21/2020","-0.619","-0.594","-0.591","-0.657","2.48%"
"01/20/2020","-0.604","-0.575","-0.575","-0.607","1.68%"
"01/17/2020","-0.594","-0.522","-0.522","-0.615","-1.49%"
"01/16/2020","-0.603","-0.575","-0.571","-0.607","5.24%"
"01/15/2020","-0.573","-0.522","-0.522","-0.588","7.50%"
"01/14/2020","-0.533","-0.440","-0.440","-0.542","6.39%"
"01/13/2020","-0.501","-0.529","-0.501","-0.534","-4.39%"
"01/10/2020","-0.524","-0.513","-0.513","-0.548","0.19%"
"01/09/2020","-0.523","-0.514","-0.513","-0.543","-2.43%"
"01/08/2020","-0.536","-0.526","-0.521","-0.586","-6.78%"
"01/07/2020","-0.575","-0.514","-0.514","-0.598","-0.86%"
"01/06/2020","-0.580","-0.575","-0.565","-0.602","3.20%"
"01/03/2020","-0.562","-0.512","-0.512","-0.574","19.07%"
"12/30/2019","-0.472","-0.518","-0.472","-0.518","-11.11%"
"12/27/2019","-0.531","-0.522","-0.519","-0.538","-0.19%"
"12/23/2019","-0.532","-0.452","-0.452","-0.537","3.50%"
"12/20/2019","-0.514","-0.531","-0.514","-0.553","-3.02%"
"12/19/2019","-0.530","-0.544","-0.523","-0.544","-2.93%"
"12/18/2019","-0.546","-0.496","-0.496","-0.594","-6.19%"
"12/17/2019","-0.582","-0.567","-0.567","-0.589","0.34%"
"12/16/2019","-0.580","-0.561","-0.561","-0.604","4.32%"
"12/13/2019","-0.556","-0.512","-0.512","-0.563","-0.54%"
"12/12/2019","-0.559","-0.597","-0.557","-0.618","-0.36%"
"12/11/2019","-0.561","-0.542","-0.542","-0.592","-0.71%"
"12/10/2019","-0.565","-0.526","-0.526","-0.594","-5.36%"
"12/09/2019","-0.597","-0.609","-0.594","-0.616","-0.67%"
"12/06/2019","-0.601","-0.626","-0.582","-0.634","1.86%"
"12/05/2019","-0.590","-0.614","-0.590","-0.629","-6.05%"
"12/04/2019","-0.628","-0.651","-0.628","-0.658","8.28%"
"12/03/2019","-0.580","-0.578","-0.578","-0.646","-2.52%"
"12/02/2019","-0.595","-0.525","-0.525","-0.613","-2.78%"
"11/29/2019","-0.612","-0.627","-0.612","-0.635","-2.39%"
"11/28/2019","-0.627","-0.638","-0.626","-0.653","0.16%"
"11/27/2019","-0.626","-0.590","-0.590","-0.635","8.49%"
"11/26/2019","-0.577","-0.570","-0.568","-0.601","-0.35%"
"11/25/2019","-0.579","-0.579","-0.568","-0.588","-0.69%"
"11/22/2019","-0.583","-0.523","-0.519","-0.583","11.05%"
"11/21/2019","-0.525","-0.541","-0.525","-0.574","-4.72%"
"11/20/2019","-0.551","-0.551","-0.550","-0.591","2.99%"
"11/19/2019","-0.535","-0.520","-0.514","-0.542","2.88%"
"11/18/2019","-0.520","-0.494","-0.489","-0.535","5.05%"
"11/15/2019","-0.495","-0.502","-0.495","-0.526","-1.98%"
"11/14/2019","-0.505","-0.479","-0.477","-0.519","6.77%"
"11/13/2019","-0.473","-0.394","-0.380","-0.478","24.80%"
"11/12/2019","-0.379","-0.400","-0.379","-0.401","-6.19%"
"11/11/2019","-0.404","-0.339","-0.339","-0.415","6.32%"
"11/08/2019","-0.380","-0.404","-0.380","-0.417","-5.94%"
"11/07/2019","-0.404","-0.461","-0.404","-0.461","-6.05%"
"11/06/2019","-0.430","-0.383","-0.383","-0.467","-4.66%"
"11/05/2019","-0.451","-0.424","-0.424","-0.493","-4.04%"
"11/04/2019","-0.470","-0.512","-0.470","-0.531","-11.99%"
"11/01/2019","-0.534","-0.557","-0.516","-0.581","-5.15%"
"10/31/2019","-0.563","-0.524","-0.524","-0.586","11.26%"
"10/30/2019","-0.506","-0.518","-0.501","-0.543","-3.07%"
"10/29/2019","-0.522","-0.522","-0.515","-0.548","1.95%"
"10/28/2019","-0.512","-0.569","-0.508","-0.570","-8.08%"
"10/25/2019","-0.557","-0.603","-0.557","-0.603","-6.86%"
"10/24/2019","-0.598","-0.608","-0.580","-0.621","-1.48%"
"10/23/2019","-0.607","-0.515","-0.515","-0.627","20.20%"
"10/22/2019","-0.505","-0.552","-0.505","-0.587","-4.90%"
"10/21/2019","-0.531","-0.581","-0.531","-0.584","-7.65%"
"10/18/2019","-0.575","-0.599","-0.575","-0.620","-0.52%"
"10/17/2019","-0.578","-0.590","-0.557","-0.610","-2.86%"
"10/16/2019","-0.595","-0.531","-0.531","-0.643","-2.14%"
"10/15/2019","-0.608","-0.675","-0.598","-0.675","-6.89%"
"10/14/2019","-0.653","-0.660","-0.653","-0.687","-0.46%"
"10/11/2019","-0.656","-0.614","-0.614","-0.710","-4.79%"
"10/10/2019","-0.689","-0.746","-0.684","-0.746","1.62%"
"10/09/2019","-0.678","-0.773","-0.678","-0.773","-12.40%"
"10/08/2019","-0.774","-0.767","-0.749","-0.781","0.00%"
"10/07/2019","-0.774","-0.786","-0.769","-0.801","-1.28%"
"10/04/2019","-0.784","-0.781","-0.780","-0.794","1.82%"
"10/03/2019","-0.770","-0.742","-0.675","-0.789","6.65%"
"10/02/2019","-0.722","-0.713","-0.713","-0.736","-2.04%"
"10/01/2019","-0.737","-0.750","-0.691","-0.750","-2.12%"
"09/30/2019","-0.753","-0.703","-0.703","-0.769","-2.08%"
"09/27/2019","-0.769","-0.791","-0.769","-0.813","-1.54%"
"09/26/2019","-0.781","-0.724","-0.724","-0.817","-3.82%"
"09/25/2019","-0.812","-0.756","-0.756","-0.853","-2.75%"
"09/24/2019","-0.835","-0.817","-0.805","-0.837","1.21%"
"09/23/2019","-0.825","-0.758","-0.758","-0.843","7.70%"
"09/20/2019","-0.766","-0.740","-0.740","-0.769","2.82%"
"09/19/2019","-0.745","-0.764","-0.697","-0.764","-0.13%"
"09/18/2019","-0.746","-0.664","-0.664","-0.805","4.04%"
"09/17/2019","-0.717","-0.628","-0.628","-0.747","3.17%"
"09/16/2019","-0.695","-0.572","-0.572","-0.703","6.92%"
"09/13/2019","-0.650","-0.660","-0.645","-0.699","-12.52%"
"09/12/2019","-0.743","-0.774","-0.714","-0.830","-5.35%"
"09/11/2019","-0.785","-0.811","-0.751","-0.827","-5.31%"
"09/10/2019","-0.829","-0.847","-0.829","-0.868","-3.83%"
"09/09/2019","-0.862","-0.902","-0.860","-0.921","-6.20%"
"09/06/2019","-0.919","-0.889","-0.871","-0.919","6.37%"
"09/05/2019","-0.864","-0.929","-0.864","-0.963","-11.02%"
"09/04/2019","-0.971","-0.975","-0.943","-0.982","-3.67%"
"09/03/2019","-1.008","-0.996","-0.985","-1.052","1.92%"
"09/02/2019","-0.989","-0.959","-0.959","-1.010","-1.88%"
"08/30/2019","-1.008","-0.957","-0.957","-1.024","-0.10%"
"08/29/2019","-1.009","-1.030","-0.983","-1.037","0.00%"
"08/28/2019","-1.009","-0.998","-0.998","-1.061","1.20%"
"08/27/2019","-0.997","-0.962","-0.951","-0.997","4.62%"
"08/26/2019","-0.953","-0.935","-0.933","-0.966","1.93%"
"08/23/2019","-0.935","-0.894","-0.877","-0.940","3.20%"
"08/22/2019","-0.906","-0.965","-0.903","-0.981","-0.55%"
"08/21/2019","-0.911","-1.038","-0.911","-1.038","-11.72%"
"08/20/2019","-1.032","-1.023","-1.023","-1.067","2.89%"
"08/19/2019","-1.003","-1.092","-1.003","-1.101","-7.73%"
"08/16/2019","-1.087","-1.099","-1.079","-1.132","-1.81%"
"08/15/2019","-1.107","-1.036","-1.032","-1.124","8.21%"
"08/14/2019","-1.023","-0.936","-0.936","-1.033","9.76%"
"08/13/2019","-0.932","-0.933","-0.913","-0.972","-0.75%"
"08/12/2019","-0.939","-0.920","-0.920","-0.941","1.95%"
"08/09/2019","-0.921","-0.937","-0.916","-0.942","5.02%"
"08/08/2019","-0.877","-0.925","-0.877","-0.964","-0.11%"
"08/07/2019","-0.878","-0.889","-0.878","-0.966","-0.45%"
"08/06/2019","-0.882","-0.872","-0.872","-0.891","2.08%"
"08/05/2019","-0.864","-0.850","-0.850","-0.892","2.61%"
"08/02/2019","-0.842","-0.791","-0.791","-0.854","12.72%"
"07/31/2019","-0.747","-0.728","-0.721","-0.780","12.16%"
"07/30/2019","-0.666","-0.639","-0.639","-0.734","-7.50%"
"07/29/2019","-0.720","-0.626","-0.626","-0.733","4.65%"
"07/26/2019","-0.688","-0.629","-0.629","-0.700","1.78%"
"07/25/2019","-0.676","-0.595","-0.595","-0.723","1.65%"
"07/24/2019","-0.665","-0.554","-0.554","-0.680","4.23%"
"07/23/2019","-0.638","-0.631","-0.618","-0.641","2.41%"
"07/22/2019","-0.623","-0.606","-0.606","-0.633","2.81%"
"07/19/2019","-0.606","-0.534","-0.534","-0.623","1.00%"
"07/18/2019","-0.600","-0.586","-0.586","-0.608","2.74%"
"07/17/2019","-0.584","-0.555","-0.546","-0.585","7.55%"
