"Date","Price","Open","High","Low","Change %"
"01/24/2018","-0.890","-0.890","-0.890","-0.890","1.14%"
"01/23/2018","-0.880","-0.880","-0.880","-0.880","2.33%"
"01/22/2018","-0.860","-0.860","-0.860","-0.860","-4.44%"
"01/21/2018","-0.900","-0.900","-0.900","-0.900","3.45%"
"01/20/2018","-0.870","-0.900","-0.870","-0.900","0.00%"
"01/19/2018","-0.870","-0.870","-0.870","-0.870","-1.14%"
"01/18/2018","-0.880","-0.880","-0.880","-0.880","1.15%"
"01/17/2018","-0.870","-0.870","-0.870","-0.870","1.16%"
"01/16/2018","-0.860","-0.860","-0.860","-0.860","-1.15%"
"01/15/2018","-0.870","-0.870","-0.870","-0.870","-3.33%"
"01/14/2018","-0.900","-0.850","-0.850","-0.900","3.45%"
"01/13/2018","-0.870","-0.900","-0.870","-0.900","2.35%"
"01/12/2018","-0.850","-0.850","-0.850","-0.850","1.19%"
"01/11/2018","-0.840","-0.840","-0.840","-0.840","0.00%"
"01/10/2018","-0.840","-0.840","-0.840","-0.840","-6.67%"
"01/09/2018","-0.900","-0.900","-0.900","-0.900","8.43%"
"01/08/2018","-0.830","-0.830","-0.830","-0.830","0.00%"
"01/07/2018","-0.830","-0.900","-0.830","-0.900","-2.35%"
"01/05/2018","-0.850","-0.850","-0.850","-0.850","1.19%"
"01/04/2018","-0.840","-0.840","-0.840","-0.840","-1.18%"
"01/03/2018","-0.850","-0.850","-0.850","-0.850","-4.49%"
"01/02/2018","-0.890","-0.880","-0.840","-0.950","-1.11%"
"01/01/2018","-0.900","-0.880","-0.880","-0.900","0.00%"
"12/31/2017","-0.900","-0.880","-0.880","-0.900","2.27%"
"12/30/2017","-0.880","-0.900","-0.880","-0.900","-1.12%"
"12/29/2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"12/28/2017","-0.900","-0.900","-0.900","-0.900","-7.22%"
"12/27/2017","-0.970","-0.970","-0.970","-0.970","7.78%"
"12/26/2017","-0.900","-0.900","-0.900","-0.900","-5.26%"
"12/25/2017","-0.950","-0.900","-0.900","-0.950","5.56%"
"12/24/2017","-0.900","-0.900","-0.900","-0.900","-1.10%"
"12/22/2017","-0.910","-0.910","-0.910","-0.910","-5.21%"
"12/21/2017","-0.960","-0.960","-0.960","-0.960","6.67%"
"12/20/2017","-0.900","-0.900","-0.900","-0.900","-6.25%"
"12/19/2017","-0.960","-0.960","-0.960","-0.960","0.00%"
"12/18/2017","-0.960","-0.960","-0.960","-0.960","4.35%"
"12/17/2017","-0.920","-0.900","-0.900","-0.920","-1.08%"
"12/16/2017","-0.930","-0.900","-0.900","-0.930","1.09%"
"12/15/2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"12/14/2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"12/13/2017","-0.920","-0.920","-0.920","-0.920","4.55%"
"12/12/2017","-0.880","-0.880","-0.880","-0.880","-2.22%"
"12/11/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"12/10/2017","-0.900","-0.950","-0.900","-0.950","0.00%"
"12/09/2017","-0.900","-0.930","-0.900","-0.930","-4.26%"
"12/08/2017","-0.940","-0.940","-0.940","-0.940","4.44%"
"12/07/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"12/06/2017","-0.900","-0.900","-0.900","-0.900","-4.26%"
"12/05/2017","-0.940","-0.940","-0.940","-0.940","-2.08%"
"12/04/2017","-0.960","-0.960","-0.960","-0.960","6.67%"
"12/03/2017","-0.900","-0.950","-0.900","-0.950","0.00%"
"12/02/2017","-0.900","-0.900","-0.900","-0.950","-6.25%"
"12/01/2017","-0.960","-0.960","-0.960","-0.960","2.13%"
"11/30/2017","-0.940","-0.940","-0.940","-0.940","0.00%"
"11/29/2017","-0.940","-0.940","-0.940","-0.940","-1.05%"
"11/28/2017","-0.950","-0.950","-0.950","-0.950","2.15%"
"11/27/2017","-0.930","-0.930","-0.930","-0.930","3.33%"
"11/26/2017","-0.900","-0.940","-0.900","-1.000","0.00%"
"11/25/2017","-0.900","-0.900","-0.900","-0.930","-3.23%"
"11/24/2017","-0.930","-0.930","-0.930","-0.930","-3.12%"
"11/23/2017","-0.960","-0.960","-0.960","-0.960","-2.04%"
"11/22/2017","-0.980","-0.980","-0.980","-0.980","1.03%"
"11/21/2017","-0.970","-0.970","-0.970","-0.970","7.78%"
"11/20/2017","-0.900","-0.900","-0.900","-0.900","-7.22%"
"11/19/2017","-0.970","-0.970","-0.900","-0.970","7.78%"
"11/18/2017","-0.900","-0.900","-0.900","-0.970","-6.25%"
"11/17/2017","-0.960","-0.960","-0.960","-0.960","-2.04%"
"11/16/2017","-0.980","-0.980","-0.980","-0.980","4.26%"
"11/15/2017","-0.940","-0.940","-0.940","-0.940","1.08%"
"11/14/2017","-0.930","-0.930","-0.930","-0.930","2.20%"
"11/13/2017","-0.910","-0.910","-0.910","-0.910","1.11%"
"11/12/2017","-0.900","-0.920","-0.900","-0.920","0.00%"
"11/11/2017","-0.900","-0.900","-0.900","-0.920","-2.17%"
"11/10/2017","-0.920","-0.920","-0.920","-0.920","2.22%"
"11/09/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"11/08/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"11/07/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"11/06/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"11/05/2017","-0.900","-0.870","-0.870","-0.900","0.00%"
"11/04/2017","-0.900","-0.900","-0.870","-0.900","2.27%"
"11/03/2017","-0.880","-0.880","-0.880","-0.880","1.15%"
"11/02/2017","-0.870","-0.870","-0.870","-0.870","3.57%"
"11/01/2017","-0.840","-0.840","-0.840","-0.840","-4.55%"
"10/31/2017","-0.880","-0.880","-0.880","-0.880","0.00%"
"10/30/2017","-0.880","-0.880","-0.880","-0.880","-2.22%"
"10/29/2017","-0.900","-0.850","-0.850","-0.900","0.00%"
"10/28/2017","-0.900","-0.900","-0.870","-0.900","4.65%"
"10/27/2017","-0.860","-0.860","-0.860","-0.860","-4.44%"
"10/26/2017","-0.900","-0.900","-0.900","-0.900","3.45%"
"10/25/2017","-0.870","-0.870","-0.870","-0.870","1.16%"
"10/24/2017","-0.860","-0.860","-0.860","-0.860","-1.15%"
"10/23/2017","-0.870","-0.870","-0.870","-0.870","-3.33%"
"10/22/2017","-0.900","-0.900","-0.860","-0.900","7.14%"
"10/20/2017","-0.840","-0.840","-0.840","-0.840","-4.55%"
"10/19/2017","-0.880","-0.880","-0.880","-0.880","-2.22%"
"10/18/2017","-0.900","-0.900","-0.900","-0.900","2.27%"
"10/17/2017","-0.880","-0.880","-0.880","-0.880","1.15%"
"10/16/2017","-0.870","-0.870","-0.870","-0.870","-3.33%"
"10/15/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"10/14/2017","-0.900","-0.900","-0.860","-0.900","4.65%"
"10/13/2017","-0.860","-0.860","-0.860","-0.860","0.00%"
"10/12/2017","-0.860","-0.860","-0.860","-0.860","-6.52%"
"10/11/2017","-0.920","-0.920","-0.920","-0.920","5.75%"
"10/10/2017","-0.870","-0.870","-0.870","-0.870","-3.33%"
"10/09/2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"10/08/2017","-0.900","-0.880","-0.880","-0.900","0.00%"
"10/07/2017","-0.900","-0.900","-0.890","-0.900","2.27%"
"10/06/2017","-0.880","-0.880","-0.880","-0.880","0.00%"
"10/05/2017","-0.880","-0.880","-0.880","-0.880","-8.33%"
"10/04/2017","-0.960","-0.960","-0.960","-0.960","7.87%"
"10/03/2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"10/02/2017","-0.890","-0.890","-0.890","-0.890","-2.20%"
"10/01/2017","-0.910","-0.890","-0.890","-0.910","0.00%"
"09/30/2017","-0.910","-0.910","-0.900","-0.910","-1.09%"
"09/29/2017","-0.920","-0.920","-0.920","-0.920","2.22%"
"09/28/2017","-0.900","-0.900","-0.900","-0.900","9.76%"
"09/27/2017","-0.820","-0.820","-0.820","-0.820","0.00%"
"09/26/2017","-0.820","-0.820","-0.820","-0.820","-1.20%"
